stop_name,stop_name_kn
Aralimara Sunkadakatte,ಅರಳಿಮರ ಸುಂಕದಕಟ್ಟೆ
Aralimara Ullalu,ಅರಳಿಮರ ಉಲ್ಲಾಳು
Aralimarada Doddy,ಅರಳಿಮರದ ದೊಡ್ಡಿ
Aralimaradapalya,ಅರಳಿಮರದಪಾಳ್ಯ
Aralimaradapalya Cross,ಅರಳಿಮರದಪಲ್ಯ ಕ್ರಾಸ್
Aralumallige,ಅರಳುಮಲ್ಲಿಗೆ
Aralumallige Cross,ಅರಳುಮಲ್ಲಿಗೆ ಕ್ರಾಸ್
Arasanahalli,ಅರಸನಹಳ್ಳಿ
Arathipalya,ಆರತಿಪಾಳ್ಯ
Aravinda Limited,ಅರವಿಂದ ಲಿಮಿಟೆಡ್
Arch Lingadeeranahalli,ಲಿಂಗದೀರನಹಳ್ಳಿ ಆರ್ಚ್
Arch Railway Gollahalli,ರೈಲ್ವೇ ಗೊಲ್ಲಹಳ್ಳಿ ಆರ್ಚ್
Archakara Badavane,ಅರ್ಚಕರ ಬಡಾವಣೆ
Are Bannimangala,ಅರೆ ಬನ್ನಿಮಂಗಲ
Are bannimangala Cross,ಅರೆ ಬಣ್ಣಿಮಂಗಲ ಕ್ರಾಸ್
Arebic College,ಅರೆಬಿಕ್ ಕಾಲೇಜ್
Arebommanahalli T Begur,ಲಕ್ಕಸಂದ್ರ ಕ್ರಾಸ್ ಟಿ ಬೇಗೂರು
Arebommanahalli T Beguru,ಅರೆಬೊಮ್ಮನಹಳ್ಳಿ ಟಿ ಬೇಗೂರು
Arehalli,ಅರೆಹಳ್ಳಿ
Arehalli Cross,ಅರೆಹಳ್ಳಿ ಕ್ರಾಸ್
Arenur,ಅರೇನೂರು
Arishinakunte,ಅರಿಶಿಣಕುಂಟೆ
Arishinakunte  Toll,ಅರಿಶೀಣಕುಂಟೆ ಟೋಲ್
Arivesandra,ಅರಿವೇಸಂದ್ರ
